Deals,Industry Type,Issuance Type,Target Raise,Amount Raised,Location
Iwebalize,Communication Services,STO,$2M,$60M,Israel
iWebBox,Information Technology,Equity,$3M,$11M,Afghanistan
Iwedia Technologies,Real Estate,Convertible Note,$7M,$56M,Singapore
iWeebo,Real Estate,STO,$5M,$93M,Canada
iWelcome,Healthcare,Equity,$5M,$5M,Poland
iwi,Consumer Staples,Debt,$12M,$98M,South Africa
Transpond,Energy,Equity,$1M,$100M,Mexico
H2Mob,Consumer Staples,Equity,$4M,$82M,Bangladesh
iWitness,Communication Services,Equity,$4M,$72M,Singapore
Iwjw,Energy,Equity,$10M,$55M,Indonesia
iwoca,Financials,Convertible Note,$3M,$58M,Belgium
iWOPI,Consumer Staples,Debt,$3M,$71M,Indonesia
IWT,Financials,STO,$15M,$90M,Turkey
Ix Innovations,Utilities,Convertible Note,$13M,$81M,China
IXcellerate,Real Estate,STO,$13M,$18M,Spain
Ixchelsis,Energy,Equity,$13M,$75M,Denmark
IXI Mobile,Utilities,Convertible Note,$4M,$41M,Poland
IXI-Play,Energy,Debt,$5M,$76M,Spain
IXIA,Information Technology,Equity,$10M,$96M,Bangladesh
Ixico,Utilities,STO,$13M,$22M,Indonesia
ixigo.com,Consumer Staples,Convertible Note,$11M,$53M,United States
iXpert,Utilities,Convertible Note,$8M,$44M,Australia
iXsystems,Utilities,Equity,$2M,$52M,Poland
Ixtens,Healthcare,Debt,$1M,$5M,Sweden
iYogi,Utilities,STO,$1M,$53M,India
iyzico,Materials,STO,$8M,$25M,Denmark
iZ3D,Utilities,Convertible Note,$11M,$99M,Israel
IZEA,Real Estate,STO,$2M,$76M,India
"Izenda, Inc.",Real Estate,STO,$11M,$99M,Bangladesh
Izeos,Healthcare,Equity,$9M,$7M,Poland
iZettle,Energy,STO,$2M,$100M,Australia
IZI-collecte,Information Technology,Equity,$4M,$15M,United Kingdom
IZI Medical Products,Materials,Equity,$15M,$63M,Poland
IZICAP,Consumer Staples,Convertible Note,$8M,$77M,Indonesia
iZoca,Real Estate,STO,$6M,$93M,Thailand
iZofy.com,Materials,Convertible Note,$1M,$16M,Turkey
Izooble,Materials,Debt,$14M,$7M,South Africa
iZotope,Real Estate,Debt,$7M,$91M,Malaysia
IZP Technologies,Energy,STO,$1M,$47M,Bangladesh
iZSearch,Industrial,Equity,$4M,$43M,United States
iZumi Bio,Industrial,STO,$14M,$98M,Bangladesh
IzumoBase,Real Estate,Convertible Note,$10M,$37M,Afghanistan
Izun Pharmaceuticals,Energy,Convertible Note,$15M,$19M,Australia
IzyTrack,Utilities,Equity,$4M,$67M,Spain
IZZE Beverage,Consumer Descretionary,Equity,$6M,$69M,Denmark
Izzui,Energy,Convertible Note,$4M,$20M,France
Izzy Money,Communication Services,Equity,$4M,$85M,Ireland
J.A.B.'s Freelance World,Utilities,Equity,$12M,$96M,New Zealand
J.A.Y Vision Studios,Materials,Convertible Note,$5M,$7M,Spain
J C Lads,Utilities,STO,$9M,$18M,New Zealand
J. Craig Venter Institute,Consumer Descretionary,Convertible Note,$10M,$78M,United Kingdom
Já Entendi,Real Estate,Convertible Note,$13M,$46M,South Africa
J&G Enterprises,Communication Services,STO,$3M,$19M,Afghanistan
J.G. ink,Materials,STO,$5M,$60M,New Zealand
j-Grab,Industrial,Equity,$10M,$82M,Spain
J. Hilburn,Communication Services,Equity,$6M,$63M,Israel
J&J Africa,Materials,STO,$4M,$18M,Sweden
J&J Bri pet food company,Energy,STO,$3M,$40M,France
J&J Solutions,Utilities,Equity,$8M,$15M,Malaysia
J-Kan,Information Technology,STO,$9M,$56M,Singapore
J Kumar Infraprojects,Utilities,Convertible Note,$7M,$27M,Singapore
J & R Renovations,Consumer Descretionary,Debt,$14M,$98M,Israel
J&V Big Game Outfitters,Industrial,Convertible Note,$12M,$19M,United Kingdom
J2 Innovations,Financials,Convertible Note,$13M,$83M,Mexico
J2 Software Solutions,Consumer Staples,Equity,$3M,$98M,Australia
J2D BioMedical,Real Estate,STO,$14M,$20M,Afghanistan
Jaano,Energy,Convertible Note,$6M,$16M,South Africa
Jaanuu,Financials,Debt,$11M,$21M,France
JAB Broadband,Industrial,Equity,$4M,$32M,Afghanistan
Jaba Technologies,Information Technology,STO,$1M,$9M,Afghanistan
Jabbar Internet Group,Energy,Convertible Note,$12M,$75M,Thailand
Jabong.com,Healthcare,Convertible Note,$8M,$24M,South Africa
Jacent Technologies,Healthcare,STO,$12M,$79M,United States
Jack and Jake’s,Communication Services,Debt,$7M,$11M,France
Jack Erwin,Healthcare,Equity,$4M,$39M,Denmark
Jack in the Box,Communication Services,Debt,$2M,$28M,Iran
Jack On Block,Real Estate,Debt,$1M,$63M,Denmark
Jack Robie,Energy,STO,$13M,$11M,India
Jack's Family Restaurants,Financials,Debt,$10M,$16M,Ireland
JackBe,Utilities,Debt,$3M,$46M,United States
Jackbox Games,Real Estate,Debt,$3M,$60M,Belgium
Jacked,Real Estate,STO,$10M,$46M,Indonesia
Jacket Micro Devices,Energy,STO,$10M,$56M,Thailand
Jackie Skelly Fitness,Communication Services,Debt,$6M,$90M,France
Jackpocket,Materials,Convertible Note,$11M,$28M,Spain
JackPot Rewards,Materials,Convertible Note,$12M,$92M,Australia
Jackpot Rising,Information Technology,Equity,$5M,$9M,United Kingdom
Jackrabbit,Financials,Equity,$15M,$54M,France
JackRabbit Systems,Materials,Equity,$14M,$49M,Poland
Jackson Square Group,Information Technology,Debt,$15M,$14M,Mexico
jaco,Healthcare,Debt,$3M,$5M,Indonesia
Jaco Solarsi,Communication Services,Convertible Note,$1M,$19M,United States
JacobAd Pte. Ltd.,Financials,Equity,$15M,$70M,Poland
Jacobs Rimell Limited,Information Technology,STO,$3M,$50M,United States
JAD Tech Consulting,Utilities,Equity,$1M,$14M,Turkey
JADE Healthcare Group,Consumer Descretionary,STO,$15M,$84M,Mexico
Jade Magnet,Consumer Staples,Equity,$5M,$59M,United States
Jade Solutions,Energy,Debt,$1M,$11M,Ireland
JadeTrack,Industrial,STO,$10M,$47M,Belgium
JadoPado,Industrial,Equity,$2M,$6M,Ireland
Jaeger,Healthcare,STO,$10M,$68M,Malaysia
jaeyos,Healthcare,Equity,$5M,$46M,Israel
Jag.ag,Industrial,Convertible Note,$12M,$67M,Israel
Jagex,Consumer Descretionary,Debt,$13M,$77M,Turkey
JAGO,Real Estate,Debt,$8M,$87M,Thailand
JagTag,Real Estate,STO,$4M,$34M,Bangladesh
Jaguar Animal Health,Materials,Debt,$8M,$65M,Bangladesh
Jaha,Financials,Equity,$15M,$59M,Belgium
Jahia,Real Estate,Equity,$7M,$41M,Iran
Edovo,Financials,Debt,$3M,$94M,Israel
jaja.tv,Communication Services,Convertible Note,$4M,$36M,Thailand
Jajah,Consumer Descretionary,Convertible Note,$5M,$17M,Afghanistan
Jakamo,Energy,STO,$5M,$37M,Malaysia
Jakks Pacific,Industrial,STO,$14M,$26M,Spain
Jalbum,Energy,Convertible Note,$5M,$64M,South Africa
Jaleva Pharmaceuticals,Real Estate,Convertible Note,$2M,$49M,Poland
Jalousier,Energy,Convertible Note,$8M,$91M,Canada
Jam,Materials,STO,$14M,$96M,Singapore
JAM Technologies,Materials,Equity,$6M,$10M,Indonesia
Jama Software,Utilities,Equity,$6M,$12M,Iran
Jamalon,Consumer Staples,Equity,$6M,$44M,Denmark
Jaman,Financials,Debt,$1M,$61M,Spain
Jamanimal,Consumer Descretionary,Convertible Note,$14M,$71M,Australia
Jamba!,Consumer Staples,Convertible Note,$12M,$36M,Australia
Jambo,Communication Services,Convertible Note,$3M,$90M,Belgium
Jambo App,Financials,Convertible Note,$10M,$88M,Turkey
Jambool,Consumer Staples,STO,$1M,$85M,Spain
Jambotech,Utilities,Debt,$9M,$51M,Indonesia
Jamclouds,Materials,Equity,$2M,$77M,United States
Jamdat Mobile,Information Technology,Equity,$4M,$83M,Sweden
JAMF Software,Healthcare,STO,$9M,$82M,Thailand
Jamgle,Communication Services,Equity,$13M,$42M,Thailand
Jamglue,Communication Services,STO,$3M,$17M,Iran
JamHub,Real Estate,Equity,$2M,$8M,Spain
Jamii,Real Estate,Equity,$8M,$37M,Mexico
JamKazam,Utilities,STO,$1M,$91M,Spain
JamLegend,Real Estate,STO,$6M,$2M,Thailand
Jammcard,Industrial,Equity,$6M,$96M,Iran
Jammin Java,Healthcare,Convertible Note,$11M,$66M,Israel
Jammit,Financials,STO,$1M,$98M,Turkey
JamOrigin,Real Estate,Convertible Note,$1M,$8M,Israel
Jampick,Energy,Equity,$4M,$73M,South Africa
Jamplify,Information Technology,Debt,$11M,$51M,United States
Jampp,Energy,Convertible Note,$5M,$11M,Australia
JAMR Labs,Information Technology,Debt,$13M,$22M,Iran
JamStar,Utilities,Debt,$8M,$32M,India
Jamwar,Industrial,STO,$10M,$30M,Israel
Jan Medical,Industrial,STO,$13M,$19M,Bangladesh
Jana,Communication Services,Convertible Note,$14M,$67M,Canada
Janalakshmi,Healthcare,STO,$14M,$27M,Poland
Janeeva,Utilities,Convertible Note,$7M,$51M,Sweden
Jangl SMS,Utilities,Convertible Note,$10M,$86M,Israel
Janis Research Co,Consumer Staples,Equity,$15M,$26M,Spain
Janrain,Healthcare,STO,$8M,$60M,Israel
Jans Digital Plans,Real Estate,STO,$5M,$58M,United States
Janus Biotherapeutics,Utilities,STO,$3M,$59M,Israel
JANZZ.technology,Communication Services,Equity,$8M,$35M,Israel
Japan Carlife Assist,Consumer Descretionary,Convertible Note,$10M,$37M,China
Japan Home Center,Real Estate,Debt,$6M,$13M,Ireland
JapanBridge,Information Technology,Equity,$7M,$33M,India
Jaree,Consumer Descretionary,STO,$13M,$3M,Ireland
Jargon,Utilities,Equity,$4M,$30M,India
Jarkas Lab Limited,Financials,Debt,$4M,$89M,Denmark
Jarvam,Real Estate,Equity,$4M,$80M,Spain
Jascha,Real Estate,STO,$15M,$17M,Australia
JasonDB,Real Estate,Equity,$3M,$89M,Turkey
Jason's House,Consumer Descretionary,STO,$5M,$2M,Israel
Jasper Design Automation,Healthcare,Debt,$14M,$88M,Afghanistan
Jasper,Materials,Equity,$4M,$85M,Spain
Jaspersoft,Utilities,Debt,$2M,$36M,Denmark
Jastr,Consumer Descretionary,Equity,$7M,$38M,Spain
Jaunt,Utilities,STO,$9M,$87M,Australia
JavaJobs,Utilities,Equity,$6M,$32M,Afghanistan
Javelin,Consumer Descretionary,STO,$14M,$63M,Afghanistan
Javelin Networks,Utilities,Equity,$13M,$95M,France
Javelin Semiconductor,Information Technology,Equity,$1M,$1M,Afghanistan
Jawbone,Utilities,Equity,$4M,$100M,Afghanistan
Jawfish Games,Communication Services,Convertible Note,$14M,$16M,Turkey
Jawsome Dive Adventures,Consumer Descretionary,Debt,$14M,$54M,Ireland
Jaxtr,Communication Services,Convertible Note,$8M,$3M,Mexico
Jay Robotix,Information Technology,Equity,$8M,$7M,Israel
JayCut,Energy,Equity,$14M,$41M,Indonesia
Jaypore,Consumer Descretionary,Equity,$3M,$22M,China
Jayride.com,Healthcare,Equity,$4M,$94M,India
JAYS,Materials,STO,$4M,$29M,Australia
JAZD Markets,Real Estate,STO,$7M,$99M,Turkey
JAZIO,Communication Services,Equity,$11M,$66M,Mexico
Jazva,Industrial,STO,$9M,$33M,Sweden
Jazz & Blues Television,Real Estate,Equity,$5M,$93M,Iran
Jazz Pharmaceuticals,Information Technology,STO,$6M,$51M,Sweden
Jazz Semiconductor,Communication Services,Debt,$3M,$81M,United Kingdom
JAZZ TECHNOLOGIES,Energy,Debt,$3M,$68M,United States
JazzD Markets,Real Estate,Convertible Note,$1M,$80M,Singapore
Jazzdesk,Communication Services,Debt,$15M,$88M,Indonesia
JB Hi-Fi,Information Technology,Equity,$8M,$83M,Mexico
JB Therapeutics,Real Estate,STO,$3M,$7M,United States
JBF,Healthcare,Convertible Note,$5M,$66M,France
JBFSports,Healthcare,Convertible Note,$15M,$94M,Iran
JBH Consulting Group,Information Technology,Convertible Note,$11M,$91M,United Kingdom
JBI Fish & Wings,Utilities,STO,$12M,$100M,Ireland
JBM International,Materials,Debt,$9M,$52M,Afghanistan
JBoss,Materials,Equity,$13M,$42M,Australia
JBR Interio,Financials,Equity,$2M,$74M,Indonesia
JCD,Communication Services,STO,$4M,$65M,New Zealand
JCR Pharmaceuticals,Information Technology,Debt,$10M,$44M,New Zealand
JD.com,Consumer Staples,Convertible Note,$11M,$10M,Thailand
JDCPhosphate,Energy,Debt,$1M,$72M,United States
Jdguanjia,Materials,STO,$15M,$52M,Mexico
IUEditor,Healthcare,Debt,$1M,$24M,United Kingdom
JDP Therapeutics,Utilities,Debt,$5M,$78M,Poland
JDS Pharmaceuticals LLC.,Information Technology,STO,$8M,$76M,Indonesia
Jean Pütz Produkte,Consumer Descretionary,Equity,$10M,$97M,Indonesia
Jeapie,Real Estate,Convertible Note,$9M,$74M,Denmark
Jebbit,Healthcare,STO,$12M,$93M,South Africa
JEDI MIND,Information Technology,Equity,$8M,$16M,United Kingdom
Jedox AG,Consumer Staples,Debt,$7M,$94M,China
"Jeds Barbeque and Brew (Westlake, OH)",Financials,Debt,$9M,$52M,Israel
Jeeran,Financials,STO,$1M,$1M,France
Jeeri Neotech International,Energy,Debt,$2M,$96M,Iran
Jeeves,Materials,Equity,$12M,$37M,Israel
JeKudo,Industrial,Convertible Note,$5M,$12M,New Zealand
Jelas Marketing,Utilities,Debt,$9M,$95M,Sweden
Jelastic,Materials,STO,$11M,$43M,Spain
Jell Creative,Healthcare,Convertible Note,$13M,$93M,Indonesia
Jell Networks,Utilities,Convertible Note,$11M,$69M,Sweden
Jelli,Utilities,Convertible Note,$9M,$21M,South Africa
Jelly Button Games,Healthcare,Equity,$4M,$33M,New Zealand
JellyCloud,Materials,STO,$14M,$34M,Australia
Jellycoaster,Real Estate,Equity,$4M,$88M,Belgium
jellyfish,Industrial,STO,$8M,$73M,Denmark
Jellyfish Art,Financials,Equity,$12M,$43M,Turkey
Jellyfish Health,Real Estate,Debt,$14M,$92M,Mexico
Jelly HQ,Healthcare,STO,$9M,$1M,New Zealand
Jellynote,Real Estate,Debt,$14M,$52M,Singapore
Jellyvision,Consumer Descretionary,Convertible Note,$2M,$21M,Canada
Jemstep,Utilities,STO,$9M,$37M,Ireland
JeNaCell,Communication Services,Debt,$10M,$56M,Iran
JenaValve Technology,Utilities,Equity,$13M,$61M,New Zealand
Jenken Biosciences,Materials,STO,$2M,$71M,Sweden
Jenkins & Davies Mechanical Engineering,Consumer Descretionary,Equity,$14M,$7M,Indonesia
Jenn Rykert,Energy,Debt,$15M,$38M,China
Jenner Renewables,Healthcare,STO,$7M,$32M,China
Jennerex Biotherapeutics,Energy,STO,$10M,$57M,Bangladesh
Jentro Technologies,Materials,Equity,$9M,$55M,Israel
JeNu Biosciences,Information Technology,STO,$4M,$25M,Poland
JEPLAN INC.,Utilities,Convertible Note,$14M,$91M,Bangladesh
Jericho Ventures,Materials,STO,$9M,$52M,Thailand
Jerini,Communication Services,STO,$7M,$35M,Iran
Jersey Watch,Consumer Descretionary,Debt,$12M,$75M,Afghanistan
Jessyfrup,Real Estate,Convertible Note,$13M,$66M,Afghanistan
JesterDigital,Consumer Staples,Convertible Note,$6M,$26M,India
Jet,Financials,STO,$12M,$75M,Iran
Jet Athletics,Utilities,Debt,$2M,$72M,Ireland
Jet Set Games,Consumer Descretionary,Debt,$1M,$77M,Belgium
Jetabroad,Utilities,Debt,$6M,$100M,Israel
Jetaport,Information Technology,STO,$5M,$25M,Indonesia
Jetbay,Materials,Convertible Note,$12M,$71M,India
JetBird,Industrial,Equity,$10M,$25M,New Zealand
JetCash,Consumer Descretionary,Convertible Note,$14M,$73M,New Zealand
JethroData,Healthcare,STO,$15M,$96M,New Zealand
Jetlore,Consumer Staples,STO,$14M,$35M,United Kingdom
Jetmap,Real Estate,Debt,$14M,$53M,China
JETME,Utilities,Debt,$14M,$18M,Israel
Jetpac,Materials,STO,$11M,$20M,Israel
Jetpack Workflow,Healthcare,Equity,$5M,$54M,South Africa
JetPay,Communication Services,Debt,$5M,$16M,Belgium
JetSetGo,Financials,Convertible Note,$2M,$41M,Poland
JetSmarter,Information Technology,STO,$10M,$66M,Singapore
JetSuite,Industrial,Convertible Note,$5M,$25M,United Kingdom
Jettable,Healthcare,Equity,$5M,$13M,Thailand
Jewel Toned,Materials,Debt,$7M,$22M,Denmark
JewelStreet,Utilities,STO,$13M,$23M,Canada
JFDI.Asia,Energy,STO,$13M,$35M,Iran
JFrog,Energy,STO,$2M,$56M,Malaysia
JFS Home Farm Biogas,Communication Services,Equity,$3M,$69M,Poland
JFS Howla Hay Biogas,Information Technology,Convertible Note,$13M,$47M,Mexico
JFS Washfold Biogas,Consumer Staples,Equity,$1M,$50M,Afghanistan
JFS Westholme Farm Biogas,Consumer Staples,Convertible Note,$8M,$82M,Israel
JFS Wray House Biogas,Energy,STO,$8M,$84M,Indonesia
JG Health Solutions,Healthcare,Debt,$5M,$58M,United Kingdom
JG Real Estate,Industrial,Debt,$14M,$92M,Mexico
JH Network,Industrial,Equity,$6M,$41M,Singapore
JHL Biotech,Materials,STO,$2M,$97M,Turkey
Jia.com,Consumer Descretionary,Equity,$13M,$34M,Iran
Jiahe,Utilities,STO,$7M,$21M,Singapore
Jiangsu Sanhuan Industrial (Group),Healthcare,Convertible Note,$3M,$32M,Belgium
Jiangsu Shunda Semiconductor Development,Healthcare,Equity,$7M,$43M,Belgium
Tongda,Utilities,Debt,$13M,$82M,Thailand
Jiangxi LDK Solar Hi-Tech,Industrial,Convertible Note,$11M,$72M,Indonesia
Jiangyin Haobo Science and Technology,Materials,Equity,$4M,$96M,United Kingdom
Jianjian,Utilities,Convertible Note,$11M,$94M,Malaysia
Jianshu,Materials,Convertible Note,$6M,$75M,Canada
JiaThis,Materials,Debt,$4M,$30M,United States
Jibber Jabber,Utilities,STO,$2M,$64M,Spain
Jibbigo,Materials,STO,$2M,$29M,Bangladesh
Jibe,Energy,Convertible Note,$13M,$12M,Belgium
Jibe Mobile,Consumer Staples,Equity,$4M,$99M,South Africa
JibeHealth,Communication Services,Debt,$7M,$34M,Australia
Jiberish,Consumer Descretionary,Debt,$9M,$27M,India
Jibestream,Financials,Convertible Note,$11M,$59M,Afghanistan
JibJab,Real Estate,Equity,$15M,$46M,Poland
Jibo,Energy,Equity,$10M,$46M,Israel
JIC Leasing Co,Real Estate,Convertible Note,$12M,$75M,Belgium
Jiemai.com,Communication Services,Equity,$13M,$92M,Mexico
Jiff,Energy,STO,$15M,$90M,Thailand
Jiffi,Information Technology,Equity,$7M,$40M,South Africa
Jifflenow,Information Technology,Equity,$4M,$53M,China
jiffstore,Communication Services,Debt,$13M,$98M,Canada
Jifiti.com,Consumer Descretionary,Convertible Note,$4M,$25M,Spain
Jiglu,Real Estate,Debt,$7M,$29M,Bangladesh
Jigsaw,Communication Services,Equity,$10M,$93M,Canada
Jigsaw Enterprises,Information Technology,STO,$5M,$80M,Sweden
Jigsaw Meeting,Healthcare,STO,$2M,$27M,Sweden
Jigsaw24,Healthcare,STO,$11M,$74M,Canada
Jigsee,Consumer Descretionary,Debt,$8M,$19M,South Africa
JiGuo.com,Communication Services,Equity,$1M,$76M,Indonesia
Jijindou.com,Utilities,Debt,$11M,$23M,Thailand
Jike Xueyuan,Consumer Descretionary,Equity,$15M,$3M,Sweden
Jildy,Real Estate,Equity,$9M,$89M,Iran
Jimdo,Energy,Convertible Note,$9M,$68M,Afghanistan
Jimmy Fairly,Consumer Descretionary,Equity,$12M,$43M,Thailand
Jimubox,Real Estate,Equity,$3M,$60M,Belgium
Jin-Magic,Communication Services,Convertible Note,$6M,$1M,Bangladesh
Jinfuzi 金斧子,Industrial,Convertible Note,$12M,$42M,Poland
Jing-Jin Electric Technologies,Materials,Convertible Note,$11M,$62M,United Kingdom
JinggaMall.com,Consumer Descretionary,Equity,$3M,$2M,Thailand
Jingit,Industrial,Debt,$10M,$31M,United States
Jingle,Real Estate,Convertible Note,$9M,$94M,Australia
Jingle Networks,Materials,Equity,$3M,$91M,South Africa
Jingle Punks Music,Energy,STO,$15M,$27M,Thailand
Jingshi Wanwei,Financials,Equity,$3M,$81M,Indonesia
Jini,Consumer Staples,STO,$12M,$81M,Thailand
Jinko Solar Holding,Utilities,Equity,$11M,$45M,Malaysia
JinkoSolar Holding,Energy,Convertible Note,$9M,$54M,Denmark
Jinn,Utilities,Equity,$6M,$25M,United Kingdom
Jinni,Industrial,Debt,$1M,$19M,Belgium
Jinsheng Group,Energy,Debt,$8M,$16M,Ireland
Jintronix,Energy,Equity,$3M,$96M,United Kingdom
Jiongji App,Information Technology,Debt,$1M,$10M,Singapore
Jipio,Utilities,Equity,$3M,$85M,Poland
Jirafe,Utilities,STO,$7M,$90M,Denmark
JIT Solaire,Consumer Descretionary,Convertible Note,$7M,$1M,Belgium
Jitterbit,Energy,Convertible Note,$9M,$60M,New Zealand
Jiubang Digital Technology Co.,Information Technology,Convertible Note,$13M,$51M,Canada
Jiujiuweikang,Utilities,Convertible Note,$14M,$9M,United Kingdom
Jiva Technology,Information Technology,STO,$1M,$70M,France
Jive Communications,Industrial,Convertible Note,$13M,$10M,Canada
Jive Software,Energy,Equity,$11M,$24M,Malaysia
Jivox,Materials,STO,$9M,$14M,South Africa
Jivr Bike,Utilities,STO,$12M,$94M,China
Jiwu 吉屋网,Energy,Debt,$3M,$61M,Poland
Jixee,Real Estate,Debt,$7M,$69M,China
Jiyo Natural,Financials,Debt,$6M,$100M,Singapore
JJ Divers,Communication Services,Equity,$15M,$64M,Belgium
JJ PHARMA,Healthcare,Convertible Note,$7M,$43M,Iran
MyMusicTaste,Energy,Convertible Note,$6M,$27M,Thailand
JK BioPharma Solutions,Real Estate,STO,$12M,$73M,Denmark
JK-Group,Financials,Equity,$7M,$44M,Bangladesh
JKZ Enterprises,Healthcare,Convertible Note,$5M,$87M,Israel
JLC Veterinary Service,Healthcare,STO,$9M,$1M,Malaysia
JLGOV,Materials,Convertible Note,$11M,$99M,Indonesia
JMB Energie,Consumer Descretionary,STO,$9M,$25M,Bangladesh
Jmdedu.com,Information Technology,Debt,$1M,$80M,Israel
JMEA,Healthcare,STO,$10M,$15M,Turkey
JML Optical Industries,Industrial,Convertible Note,$1M,$50M,Mexico
jnaapti,Healthcare,STO,$15M,$51M,Malaysia
JNJ Mobile,Real Estate,Convertible Note,$2M,$91M,Malaysia
JNS Towers,Consumer Staples,Convertible Note,$5M,$18M,Singapore
JOA Oil & Gas,Consumer Descretionary,STO,$6M,$90M,Poland
JOB Forward,Energy,Debt,$14M,$71M,Canada
Job on Corp.,Real Estate,STO,$11M,$12M,Poland
Job Pact,Consumer Staples,Debt,$10M,$33M,Canada
Job1001,Real Estate,Convertible Note,$2M,$59M,Canada
Job2Day,Energy,Debt,$10M,$98M,New Zealand
Job36,Consumer Descretionary,Convertible Note,$4M,$64M,Iran
Job4Fiver Limited,Healthcare,STO,$13M,$10M,India
Jobado,Financials,STO,$9M,$100M,Canada
Jobaline,Communication Services,Convertible Note,$12M,$37M,Malaysia
jobandtalent,Consumer Descretionary,STO,$1M,$4M,Spain
JobApp,Materials,Equity,$14M,$98M,Iran
Jobartis,Consumer Staples,Equity,$10M,$80M,Malaysia
Jobbatical,Industrial,Equity,$8M,$56M,Thailand
Jobber,Energy,Equity,$14M,$40M,Singapore
Jobbio,Real Estate,Equity,$15M,$31M,Iran
Jobble,Healthcare,Convertible Note,$13M,$57M,Mexico
Jibbr,Communication Services,Equity,$6M,$31M,New Zealand
Jobcast,Information Technology,Debt,$13M,$47M,United States
JobCast,Real Estate,Debt,$11M,$98M,Spain
JobCast.io,Materials,Equity,$13M,$50M,Israel
JobConvo,Materials,STO,$8M,$93M,France
Jobdoh,Healthcare,Equity,$7M,$3M,Singapore
Jobe Consulting Group,Financials,STO,$8M,$78M,Denmark
Joberate,Healthcare,Equity,$7M,$69M,Ireland
Joberator,Financials,STO,$2M,$34M,Mexico
JobFinder.Ninja,Utilities,STO,$13M,$100M,China
JobFlash,Consumer Descretionary,Equity,$8M,$43M,Denmark
Jobfox,Energy,Convertible Note,$10M,$3M,United States
JobHive,Consumer Descretionary,Equity,$9M,$22M,Singapore
JobHoreca,Real Estate,STO,$11M,$89M,Sweden
JobiJoba,Communication Services,Debt,$13M,$73M,Canada
Jobindex,Consumer Descretionary,Debt,$6M,$17M,United Kingdom
JobLeads,Communication Services,Debt,$7M,$9M,Sweden
joblocal,Industrial,Equity,$11M,$14M,Iran
JobMap,Information Technology,Convertible Note,$12M,$98M,Thailand
jobMapp,Healthcare,STO,$14M,$79M,United Kingdom
Job Market Maker,Financials,Debt,$1M,$88M,Sweden
Jobmetoo,Financials,Convertible Note,$1M,$74M,Bangladesh
JobMinglr,Consumer Descretionary,STO,$5M,$9M,Afghanistan
Jobool,Financials,Debt,$8M,$43M,Israel
Jobpartners,Consumer Staples,Convertible Note,$10M,$4M,Canada
Jobpicker GmbH,Utilities,STO,$2M,$35M,Canada
JobPlanet,Energy,Equity,$6M,$94M,Bangladesh
Jobr,Industrial,Debt,$1M,$95M,China
Jobrangers,Utilities,Equity,$12M,$90M,Indonesia
Jobrivet,Information Technology,STO,$9M,$41M,Mexico
jobs-dial LLC,Consumer Staples,Convertible Note,$3M,$43M,Poland
Jobs Hatchery,Consumer Staples,Debt,$12M,$80M,Israel
Jobs Made Easy,Consumer Staples,Convertible Note,$1M,$20M,Spain
Jobs The Word,Communication Services,Convertible Note,$15M,$94M,Afghanistan
Jobs2Web,Consumer Descretionary,Convertible Note,$2M,$99M,Thailand
JobScout,Industrial,Equity,$11M,$83M,Indonesia
JobsCrush,Communication Services,Equity,$3M,$33M,United States
JobSerf,Healthcare,STO,$14M,$59M,Afghanistan
Jobsite Unite,Financials,Convertible Note,$10M,$60M,Afghanistan
jobsite123,Real Estate,Equity,$11M,$59M,Australia
JobSlot,Utilities,Debt,$12M,$40M,Singapore
JobSpice,Communication Services,Debt,$13M,$57M,South Africa
Jobspire,Communication Services,Equity,$5M,$33M,Ireland
Jobspot,Materials,Equity,$13M,$23M,Malaysia
Jobspotting,Communication Services,Convertible Note,$14M,$54M,Malaysia
Jobssy.com,Utilities,Convertible Note,$1M,$8M,Mexico
Jobster,Materials,STO,$11M,$72M,United States
JobSync,Information Technology,STO,$5M,$9M,Denmark
JobSyndicate,Industrial,STO,$3M,$43M,Turkey
JobTeaser.com,Communication Services,Equity,$15M,$24M,Spain
jobtitu.de,Real Estate,Debt,$2M,$20M,Thailand
Jobtong,Industrial,STO,$10M,$14M,Israel
Jobulous,Information Technology,STO,$11M,$81M,Australia
Jobvite,Communication Services,Debt,$10M,$96M,Canada
Jobyal,Real Estate,Convertible Note,$15M,$11M,France
Jobydu,Energy,Convertible Note,$14M,$57M,Spain
Jobyourlife,Consumer Staples,STO,$4M,$53M,India
Jobzella,Consumer Staples,Convertible Note,$13M,$77M,Afghanistan
Jobzippers,Industrial,Debt,$3M,$80M,South Africa
Jobzle,Industrial,Debt,$14M,$100M,Thailand
Jocoos,Healthcare,Debt,$8M,$21M,Belgium
Jodange,Consumer Staples,STO,$15M,$14M,Thailand
Kwan Mobile,Communication Services,Debt,$6M,$85M,China
Kwanji,Financials,Debt,$10M,$81M,Singapore
Kwarter,Consumer Staples,Debt,$11M,$82M,Thailand
KweekWeek,Healthcare,STO,$5M,$51M,Belgium
Kwelia,Utilities,STO,$7M,$62M,Iran
Kwestr,Information Technology,Equity,$2M,$67M,Turkey
kWhOURS,Materials,Equity,$8M,$46M,Thailand
Kwick Clean and Green,Healthcare,Equity,$13M,$69M,Canada
KwiClick,Consumer Descretionary,Equity,$6M,$3M,India
Kwicr,Consumer Descretionary,STO,$4M,$68M,Malaysia
